n,t
4,6.916746497154236e-06
50,0.000201259832829237
100,0.000982003565877676
200,0.006578787788748741
300,0.030355958081781865
400,0.081115429289639
500,0.13213220993056893
600,0.18613769207149744
700,0.23405393669381738
800,0.33547188583761456
900,0.5914825857616961
1000,0.7001784885302186
2000,3.919273022003472
3000,10.030063738022
4000,19.803946881368756
5000,42.2867482974194
