"n","t"
4,0.000995564460754394
50,0.00500860214233398
100,0.0121017932891846
200,0.0344990968704224
300,0.0571512699127197
400,0.0960665464401245
500,0.131667804718018
600,0.167838954925537
700,0.22039840221405
800,0.269658923149109
900,0.35181736946106
1000,0.417447423934937
2000,1.64730539321899
3000,3.60592384338379
4000,6.20605812072754
5000,10.0777359485626
